campus_id,campus_name,company_clean,record_level,address,postal_code,city,market,state,state_abbr,county,country,region,latitude,longitude,planned_power_mw,uc_power_mw,commissioned_power_mw,full_capacity_mw,planned_plus_uc_mw,mw_2023,mw_2024,mw_2025,mw_2026,mw_2027,mw_2028,mw_2029,mw_2030,mw_2031,mw_2032,pue_avg,facility_sqft_sum,whitespace_sqft_sum,building_count,facility_status_agg,cancelled,first_live_date,full_buildout_date,additional_references,notes,ingest_date,sample_longitude,sample_latitude
meta|los-lunas|meta-los-lunas,Meta Los Lunas,Meta,Campus,4250 Messenger Lp,87031,Los Lunas,Albuquerque,New Mexico,,,USA,,34.826133,-106.77523,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-106.77522999999997,34.82613300000003
meta|loslunas|metaloslunas,Meta Los Lunas,Meta,Campus,Messenger Loop,87031,Los Lunas,Albuquerque,NEW MEXICO,,,United States,,34.82476304,-106.7853059,0.0,76.0,245.7,321.7,76.0,,,,,,,,,,,,3228000.0,,10,Active,0,2019-12-31 00:00:00,,,,2025-11-14 14:16:08,-106.78530589999997,34.82476304000005
meta|lule|meta-lulea,Meta Lulea,Meta,Campus,Datavägen 15,,Luleå,Lulea,,,,Sweden,,65.62046,22.112923,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,22.112923000000023,65.62046000000004
meta|lulea|metalulea,Meta Lulea,Meta,Campus,Datavagen 15,977 54,Lulea,Sweden,,,,Sweden,,65.616501,22.116197,0.0,0.0,72.80000000000001,72.80000000000001,0.0,,,,,,,,,,,,1060000.0,,3,Active,0,2013-12-31 00:00:00,,,,2025-11-14 14:16:08,22.116197000000057,65.61650100000003
meta|menomonie|metamenomonie,Meta Menomonie,Meta,Campus,County Road B,54751,Menomonie,Eau Claire,WISCONSIN,,,United States,,44.92604092,-91.85167002,304.0,0.0,0.0,304.0,304.0,,,,,,,,,,,,1430000.0,,4,Announced,0,,,,,2025-11-14 14:16:08,-91.85167001999997,44.92604092000005
meta|mesa|meta-mesa,Meta Mesa,Meta,Campus,3841 S Ellsworth Rd,85212,Mesa,Phoenix,Arizona,,,USA,,33.343551,-111.63039,,,,,0.0,,,,,,,,,,,,,,12,Active,0,,,,,2025-11-14 14:16:08,-111.63038999999998,33.34355100000005
meta|mesa|metamesa,Meta Mesa,Meta,Campus,3841 S Ellsworth Road,85212,Mesa,Phoenix,ARIZONA,,,United States,,33.34754007,-111.6243976,38.0,0.0,150.0,188.0,38.0,,,,,,,,,,,,1885000.0,,6,Active,0,2023-12-31 00:00:00,,,,2025-11-14 14:16:08,-111.62439759999995,33.347540070000036
meta|middletontownship|metamiddletontownship,Meta Middleton Township,Meta,Campus,N Dixie Highway,43402,Middleton Township,Toledo,OHIO,,,United States,,41.46852982,-83.63454206,152.0,152.0,0.0,304.0,304.0,,,,,,,,,,,,1430000.0,,4,Under Construction,0,,,,,2025-11-14 14:16:08,-83.63454205999994,41.46852982000007
meta|montgomery|meta-montgomery,Meta Montgomery,Meta,Campus,"SECRET, within Interstate 65, across from Hyundai’s automotive assembly plant",36105,Montgomery,Montgomery,Alabama,,,USA,,,,,,,,0.0,,,,,,,,,,,,,,2,Under Construction,0,,,,,2025-11-14 14:16:08,,
meta|montgomery|metamontgomery,Meta Montgomery,Meta,Campus,1425 Hyundai Boulevard,36105,Montgomery,Montgomery,ALABAMA,,,United States,,32.27080505,-86.32757623,304.0,152.0,0.0,456.0,456.0,,,,,,,,,,,,2145000.0,,6,Under Construction,0,,,,,2025-11-14 14:16:08,-86.32757622999998,32.270805050000035
meta|newalbany|metanewalbany,Meta New Albany,Meta,Campus,12685 Green Chapel Road,43054,New Albany,Columbus,OHIO,,,United States,,40.11850244,-82.72853798,380.0,190.0,340.0,910.0,570.0,,,,,,,,,,,,4685000.0,,20,Active,0,2019-12-31 00:00:00,,,,2025-11-14 14:16:08,-82.72853797999994,40.11850244000004
meta|odense|meta-odense,Meta Odense,Meta,Campus,Krogslundvej 140,5220,Odense,Odense,,,,Denmark,,55.363271,10.484969,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,10.484969000000035,55.363271000000054
meta|odense|metaodense,Meta Odense,Meta,Campus,M. P. Allerups Vej 48,5220,Odense,Denmark,,,,Denmark,,55.366931,10.483569,0.0,0.0,70.4,70.4,0.0,,,,,,,,,,,,932917.0,,3,Active,0,2020-12-31 00:00:00,,,,2025-11-14 14:16:08,10.483569000000045,55.36693100000008
meta|papillion|meta-sarpy,Meta Sarpy,Meta,Campus,14734 Friend Plz,68059,Papillion,Papillion,Nebraska,,,USA,,41.122078,-96.139411,,,,,0.0,,,,,,,,,,,,,,2,Active,0,,,,,2025-11-14 14:16:08,-96.13941099999994,41.122078000000045
